index,cleaned,document_link,abstract,all_authors,pdf_path,title,publisher,year_published,volume,date_uploaded,keywords,start,end,,,,,,,,,
949,T,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=157,Isoperibolic electrode calorimetry has demonstrated that four times as much heat is generated at the anode then at the cathode in D2O. Experiments recognized that silica affected some results. Experiments in K2CO3 reported here identifies silica as both a contributor to excess heat generation and as a factor in modifying the cell calibration constant. Implications for cold fusion will be discussed.,"Criddle, E. E.",IkegamiHthirdintera.pdf,Implications of Isoperibolic Electrode Calorimetry for Cold Fusion: The Silica Effect,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""","1,992",1,2018-12-04,"SiO2, heat, error, critique, ICCF-3",157,160,,,,,,,,,
951,T,http://lenr-canr.org/acrobat/PonsSproceedinga.pdf#page=235,"In any discussion of the origin, measurement or description of the anomalous power prod ucing process which occurs in connection with the electrochemical loading of deuterium into palladium, knowledge of the thermodynamic behaviour of the system is clearly of importance. More particularly, since the formation of highly l oaded palladium is implicated as a necessary (but itself insufficient) condition for the observation of anomalous power, thermodynamic considerations relating to the attainment of high l oadings are of interest. Here, it is intended to review, at a general level , those aspects of the thermodynamic nature of the H(D)-Pd system, both equilibrium and non-equilibrium, which appear to bear most directly,on the question of excess power producti on in relati o n to the attai nment of high loadings.","Crouch-Baker, S.; McKubre, M. C. H.; Tanzella, F. L.",PonsSproceedinga.pdf,Some Thermodynamic Properties of the H(D)-Pd System,5th International Conference on Cold Fusion,"1,995",1,2018-11-20,"PdD, thermodynamic, enthalpy of formation, ICCF-5",235,245,,,,,,,,,
953,T,http://lenr-canr.org/acrobat/CrouchBakevariationo.pdf,"Measurement of electrical resistance is a convenient method for the determination of composition in a number of metal?hydrogen systems. For the fi-phase of the H?Pd system, pertinent data from the literature are employed in order to construct a complete resistance-loading function at 298 K.","Crouch-Baker, S.; McKubre, M. C. H.; Tanzella, F. L.",CrouchBakevariationo.pdf,Variation of Resistance with Composition in the beta-Phase of the H-Pd System at 298k,Z. fur Phys. Chemie,"1,998",204,2015-05-20,"Hydrogen-palladium, Resistance ratio, Loading, Pressure-composition isotherm",,,,,,,,,,,
956,T,http://lenr-canr.org/acrobat/CSSThearingbef.pdf,"U.S. House of Representatives, Hearing before the Committee on Science, Space and Technology on cold fusion, April 1989.",CSST,CSSThearingbef.pdf,"Hearing before the Committee on Science, Space and Technology, U.S. House of Representatives","Washington, DC","1,989",,2010-03-12,History,,,,,,,,,,,
957,T,http://lenr-canr.org/acrobat/PonsSproceedinga.pdf#page=262,"An experimental system has been developed to grow pure titanium films on tungsten substrates. The physicochemical properties of these films have been widely studied and ad hoc samples can be used for Cold Fusion experiments avoiding their contact with atmosphere. Different Cold Fusion experiments are proposed in a new experimental setup that allows deuterium gas loading of the film whi le electrical current is applied through them. Thus, an experimental configuration similar to an electrochemical loading is attained.","Cuevas, F.; Fernandez, J. F.; Algueru, M.; Sanchez, C.",PonsSproceedinga.pdf,"An Experimental System for ""Cold Fusion"" Experiments with Self-Produced Iodide Titanium Films",5th International Conference on Cold Fusion,"1,995",1,2018-11-20,"Ti, D2, layer, method, deposition, ICCF-5",262,265,,,,,,,,,
958,T,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=169,"A complete set of NRS (Nuclear Reactions in Solids) experiments has been performed on the Ti-D system checking as triggering mechanisms of these phenomena the imposition of electric fields and the crossing of the cS-E and p-cS phase boundaries. The experiments were accomplished using a high pure iodide-titanium film as the initial metal matrix. Neutron measurements were monitored while doing these experiments and no clear evidence of the nuclear fusion reaction D+D---+3He+n has been detected, the upper detection limit for this reaction being lamda = 3 x 10^-21 f/pds.","Cuevas, F.; Fernandez, J. F.; Sanchez, C.",NEDOthesixthin.pdf,Search for Neutron Emissions Induced by Electric Currents and Phase Transitions in Titanium Deuteride Films,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy","1,996",1,2018-11-29,"Ti, neutron, D2, layer, ICCF-6",169,176,,,,,,,,,
961,T,http://lenr-canr.org/acrobat/CzerskiKenhancemen.pdf,"Abstract. -- To study the electron screening of nuclear reactions in metallic environments, angular distributions and thick target yields of the fusion reactions 2H(d,p) 3H and 2H(d,n) 3He have been measured on deuterons implanted in three different metal targets (Al, Zr and Ta) for beam energies ranging from 5 to 60 keV. The experimentally determined values of the screening energy are about one order of magnitude larger than the value achieved in a gas target experiment and significantly larger than the theoretical predictions. A clear target material dependence of the screening energy has been established.","Czerski, K.; Huke, A.; Biller, A.; Heide, P.; Hoeft, M.; Ruprecht, G.",CzerskiKenhancemen.pdf,Enhancement of the electron screening effect for d + d fusion reactions in metallic environments,Europhys. Lett.,"2,001",54,2006-08-16,"theory, electron screening",,,,,,,,,,,
963,T,http://lenr-canr.org/acrobat/CzerskiKthehdphrea.pdf,"Abstract. -- Based on our experimental studies of the electron screening effect in the 2H(d, p) 3H reaction for five deuteron-implanted solid targets (C, Al, Zr, Pd, Ta), theoretical calculations have been performed within an improved dielectric function theory. The theory describes correctly the observed target material dependence of the screening energies, underestimating, however, the absolute values by about a factor of 2. Applying an effective screening energy approach, the theoretical cross-sections, thick-target yields as well as nuclear reaction rates have been calculated down to the energies corresponding to the conditions of so-called cold-fusion experiments. This allows for a comparison of the experimental results at higher energies with those achieved in the heavy-water electrolysis experiments.","Czerski, K.; Huke, A.; Heide, P.; Ruprecht, G.",CzerskiKthehdphrea.pdf,"The 2H(d,p)3H reaction in metallic media at very low energies",Europhys. Lett.,"2,004",68,2006-08-17,"theory, electron screening",,,,,,,,,,,
965,T,http://lenr-canr.org/acrobat/ViolanteVproceedinga.pdf#page=14,"The enhanced electron screening effect observed in accelerator experiments for the 2H(d,p)3H and 2H(d,n)3He reaction in deuterized metallic targets may be a breakthrough in understanding the phenomenon of cold fusion. The dielectric function theory enables an extrapolation of experimental cross sections determined at higher energies down to room temperature, leading to an enhancement of the fusion reaction rates by a factor of 1040 compared to the value predicted for the deuterium molecule. An additional enhancement can be obtained due to a 0+ resonance which should exist in the compound nucleus 4He very close to the D-D reaction threshold. Combination of both processes offers a simple explanation of high penetration probability through the Coulomb barrier and the reaction branching ratio preferring the 4He channel in heavy-water electrolysis experiments.","Czerski, K.",ViolanteVproceedinga.pdf,Enhanced Electron Screening and Nuclear Mechanism of Cold Fusion,15th International Conference on Condensed Matter Nuclear Science,"2,009",,2013-08-05,,14,19,,,,,,,,,
974,T,http://lenr-canr.org/acrobat/PonsSproceedinga.pdf#page=60,This report is a review of the most convincing observations of neutrons in Cold Fusion history up to recent experiments in which neutrons were so numerous and long lasting so as to allow activation of thermal detectors. Lately neutrons were observed also by using natural hydrogen. A more complete review is published elsewhere.,"Daddi, L.",PonsSproceedinga.pdf,Neutrons Observations in Cold Fusion Experiments,5th International Conference on Cold Fusion,"1,995",1,2018-11-20,"neutron, review, ICCF-5",60,67,,,,,,,,,
