,index,cleaned,images,tables,document_link,abstract,all_authors,pdf_path,title,publisher,year_published,volume,date_uploaded,keywords,start,end,text
2,2,T,T,T,https://iopscience.iop.org/article/10.1088/0305-4608/10/3/006/meta?casa_token=-OJXVJDnK5sAAAAA:KGKJcAUD0-4DBBkiNko_4L1VN2oqrfDyqNlpHXNVGXbNljLM3qJc96V9_38C2nvH6owWy71pfg,"The authors have made thermal expansion measurements on Pd-H and Pd-D alloys. The measurements were performed between 9 and 270K, and with H(D) concentrations ranging from 0.69 to 0.82 H(D)/Pd atom ratios. Above 80K (in pure beta phase), the thermal expansion of Pd-H and Pd-D is increased compared with that of pure Pd, for comparable concentrations, D-doped samples have a larger expansion than those doped with H. For PdH0.7(PdD0.7), the authors find an essentially isotope-independent Gruneisen constant gamma H=3.0+or-0.7 for the optical phonons and a Gruneisen constant gamma ac=3.0+or-0.5 for the acoustic phonons.","Abbenseth, R.; Wipf, H.",R_Abbenseth_1980_J._Phys._F__Met._Phys._10_353.pdf,Thermal Expansion and Lattice Anharmonicity of Pd-H and Pd-D Alloys,J. Phys. F: Met. Phys.,1980,10,,"Thermal Expansion, Lattice Parameter, PdH, PdD",,,
4,4,T,T,T,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.59.995,"Nuclear magnetic resonance relaxation times for 3He in microscopic bubbles in 1-yr-old Pd 3H0.62 have been measured in the range 100–320 K. The results provide evidence for the melting of He in the range 200–280 K and for He diffusion in solid He below 200 K. The observed melting temperatures give a mean He atom density, from which the ratio of He atoms to host atom vacancies is found to be 2.0. An activation energy for He diffusion has been obtained and its relationship to the observed mean melting temperature is compared with that found in bulk 3Heat much lower densities.","Abell, G. C.; Attalla, A.",abell1987.pdf,NMR Evidence for Solid-Fluid Transition Near 250 K of 3He Bubbles in Palladium Tritide,Phys. Rev. Lett.,1987,59,,"Pd tritium, Helium, PdT",,,
5,5,T,T,T,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.41.1220,"Experimental studies of helium release from aged PdTx show that the helium-to-metal-atom ratio saturates at a value of [He]/[Pd]≃0.5 under conditions of ambient-temperature storage. Below this value, very little helium release occurs. Thermal desorption experiments show that release from a sample with [He]/[Pd]≃0.3 requires temperatures in excess of ∼600 K, while release from a sample with [He]/[Pd]≃0.02 requires temperatures in excess of at least 1300 K. These results are related to the question of the disposition of helium that would be produced by hypothetical fusion reactions iaPdDx electrode.","Abell, G. C.; Matson, L. K.; Steinmeyer, R. H.; Bowman Jr., R. C.; Oliver, B. M.",ibiblio.org_pub_academic_physics_Cold-fusion_cnf-pap.txt,Helium release from aged palladium tritide,Phys. Rev. B: Mater. Phys.,1990,41,,"Helium diffusion, PdT",,,
8,8,T,T,T,https://www.sciencedirect.com/science/article/pii/0022072889802062,,"Abriola, D.; Achterberg, E.; Davidson, M.; Debray, M.; Etchegoyen, M. C.; Fazzini, N.; Niello, J. F.; Ferrero, A. M. J.; Filevich, A.; Galia, M.C.; Garavaglia, R.; B., Garcia; Gettar, R. T.; Gil, S.; Grahmann, H.; Huck, H.; Jech, A.; Kreiner, A. J.; Macchiavelli, A. O.; Magallanes, J. F.; Maqueda, E.; Marti, G.; Pacheco, A. J.; Percz, M. L.; Pomar, C.; Ramirez, M.; Scassera, M.",abriola1989.pdf,Examination of nuclear measurement conditions in cold fusion experiments,J. Electroanal. Chem.,1989,265,,"gamma emission, neutron, electrolysis, Pd, D2O, PdCl2",,,
9,9,T,T,T,https://link.springer.com/article/10.1007/BF01588268,"Considerable heat was liberated from a palladium-deuterium (Pd-D) system and this was attributed to cold nuclear fusion of deuterium within the palladium lattice.1 The primary source of heat in cold fusion was proposed to be the work-of-fracture of cracks in the Pd electrodes, and the mechanism for crack initiation and propagation was identified as deuterium or hydrogen embrittlement.2 In this paper, comparable characteristics of cold fusion and embrittlement are established, relevant aspects of the extensive engineering database on hydrogen and deuterium embrittlement are reviewed, some areas of study and applications of the cold fusion process are identified, and parameters for controlling the ignition and heat release from metals are specified.","AbuTaha, A. F.",abutaha1990.pdf,Cold fusion - engineering perspectives,J. Fusion Energy,1990,9,,"lattice stress, stored energy critique",,,
10,10,T,T,T,https://link.springer.com/article/10.1007/BF01059254,"The assumption that deuterium, and not palladium, is the fuel in the Pons-Fleischmann experiments led to high expectations of cold nuclear fusion. The conversion of mechanical energy to heat was neglected in studying the phenomenon. Considerable strain energy is stored in metals when processed from the ore. The initiation, growth, and propagation of cracks in the bulk disturb the energy balance within the metal. Deuterium induces and propagates cracks in metals and alloys, including palladium. The sudden discharge of fracture energy during crack propagation generates considerable heat. The abundance of deuterium in cracked palladium will not continue the heat-generation process. The confident figures-of-merit of cold fusion have been based on the small energy input to the electrolytic cells and do not consider the substantial energy required to process (by melting) the palladium from the ore, or to recycle the cracked electrode samples. In this paper, the work-of-fracture is shown to be the likely mechanism responsible for the excess heat in cold fusion.","AbuTaha, A. F.",abutaha1990 (1).pdf,Cold fusion - the heat mechanism,J. Fusion Energy,1990,9,,"critique lattice stress, stored energy fractofusion",,,
11,11,,,,https://inis.iaea.org/search/searchsinglerecord.aspx?recordsFor=SingleRecord&RN=37113798,"A question we are asked repeatedly is: 'what are the causes of the opposition to your belief in the reality of 'Cold Fusion?'. This question is normally asked in the context of the statement that Quantum Mechanics shows that this phenomenon is impossible (a view that we share). Our answer is always based on the statement 'but what about the modelling of such systems in terms of QED?' which is always met by the insistence that Quantum Mechanics shows that Cold Fusion is impossible. We conclude that scientists do not understand QED or, if they have some understanding of this subject, then this must be subject to some major misconceptions. This pointless dialogue (perhaps more correctly described as two monologues conducted in parallel) and the insistence on the primacy of Quantum Mechanics in the modelling of systems in the Natural Sciences is unfortunate because it obscures the outcome of the investigations in the more normal fields of the Natural Sciences (more normal than Cold Fusion). A brief outline of the work which has led to the formulation of the concept of coherence will therefore be given under the aegis of the revolutions in our understanding of the Natural Sciences which has taken place since the latter part of the 19. Century. The main illustration of the way we can demonstrate the applicability of these concepts will be based on the study of nucleation and phase growth. The development of micro-electrode substrates allows us to study the statistics of the formation of the first nucleus; it will be shown that these statistics are strictly in line with concepts developed from QED coherence. We conclude that QED coherence is not just a concept to be confined to sub-atomic physics, cosmology etc. but that it pervades the modelling of the whole of the Natural Sciences including that of 'Cold Fusion'. Some of the major steps which have taken place in the development of this subject area will be illustrated","Abyaneh, M.; Fleischmann, M.; Del Giudice, E.; Vitiello, G.",  ,"Concerning the Modeling of Systems in Terms of Quantum Electrodynamics (QED): The Special Case of ""Cold Fusion""",Eleventh International Conference on Condensed Matter Nuclear Science,2004,,,theory,,,
12,12,T,T,T,http://lenr-canr.org/acrobat/BiberianJPjcondensedx.pdf#page=74,"In this paper we show that the helium-like hydrogen spectra obtained by Randell L. Mills  and ultra-dense hydrogen obtained by Holmlid  can be interpreted as experimental evidence of Binuclear Atoms. The hydrogen Binuclear Atom, a model proposed 25 years ago, is a metastable configuration in which the two nuclei are held together at a very short distance in an atom-like configuration. This should be a distinctive configuration of the hydrogen molecule where nuclei are characterized by a high kinetic energy, and nuclear motion is coupled with electronic motion. This is a completely different model from the usual Born-Oppenheimer picture of atoms and molecules we are used to, where nuclei oscillate about their equilibrium positions and electronic motion is decoupled from the nuclear one. The identification of helium-like hydrogen spectra and ultra-dense hydrogen as Binuclear Atoms has a strong impact on one of the main objections to Low Energy Nuclear Reactions (LENR): the overcoming of the Coulomb barrier thus identifying a sound mechanism for the occurrence of LENR.  This work is not  conclusive. The only goal of this work is to focus the attention of people interested in LENR mechanism on this subject, and encourage them to take this hypothesis more seriously.","Accomazzi, P.",BiberianJPjcondensedx.pdf,Binuclear Atoms: A Model to Explain Low Energy Nuclear Reactions,J. Condensed Matter Nucl. Sci.,2017,25,2018-09-03 00:00:00,"Binuclear atom, LENR, Mills hydrino, Rossi E-Cat, Ultra dense hydrogen",74.0,81.0,"JOURNAL OF CONDENSED
MATTER NUCLEAR SCIENCE
Experiments and Methods in Cold Fusion
VOLUME 25, November 2017JOURNAL OF CONDENSED MATTER NUCLEAR SCIENCE
ExperimentsandMethodsinColdFusion
Editor-in-Chief
Jean-PaulBiberian
Marseille,France
EditorialBoard
PeterHagelstein XingZhongLi EdmundStorms
MIT,USA TsinghuaUniversity,China KivaLabs,LLC,USA
GeorgeMiley MichaelMcKubre
FusionStudiesLaboratory, SRIInternational,USA
UniversityofIllinois,USAJOURNAL OF CONDENSED MATTER NUCLEAR SCIENCE
Volume 25, November 2017
©2017ISCMNS.Allrightsreserved. ISSN2227-3123
ThisjournalandtheindividualcontributionscontainedinitareprotectedundercopyrightbyISCMNSandthefollowing
termsandconditionsapply.
Electronicusageorstorageofdata
JCMNSisanopen-accessscientificjournalandnospecialpermissionsorfeesarerequiredtodownloadforpersonal
non-commercialuseorforteachingpurposesinaneducationalinstitution.
Allotherusesincludingprinting,copying,distributionrequirethewrittenconsentofISCMNS.
Permission of the ISCMNS and payment of a fee are required for photocopying, including multiple or systematic
copying,copyingforadvertisingorpromotionalpurposes,resale,andallformsofdocumentdelivery.
PermissionsmaybesoughtdirectlyfromISCMNS,E-mail: CMNSEditor@iscmns.org. Forfurtherdetailsyoumay
alsovisitourwebsite: http:/www.iscmns.org/CMNS/
MembersofISCMNSmayreproducethetableofcontentsorpreparelistsofarticlesforinternalcirculationwithintheir
institutions.
Orders,claims,authorinquiriesandjournalinquiries
PleasecontacttheEditorinChief,CMNSEditor@iscmns.orgorwebmaster@iscmns.orgJ.CondensedMatterNucl.Sci.25(2017)1–192
©2017ISCMNS.Allrightsreserved. ISSN 2227-3123
JOURNAL OF CONDENSED MATTER NUCLEAR SCIENCE
Volume 25 2017
CONTENTS
PREFACE
RESEARCHARTICLES
ObservationofExcessHeatbyActivatedMetalandDeuteriumGas 1
TadahikoMizuno
Quasiparticles, Collective Excitations and Higher-order Collective Quasi-excitations in 26
LatticeAssistedNuclearReactions
MitchellR.Swartz
ControlledElectronCapture: EnhancedStimulationandCalorimetryMethods 56
M.Tsirlin
BinuclearAtoms: AModeltoExplainLowEnergyNuclearReactions 68
PaoloAccomazzi
TheElectronandOccam’sRazor 76
FrancescoCelani,AntoninoOscarDiTommasoandGiorgioVassallo
Maxwell’sEquationsandOccam’sRazor 100
FrancescoCelani,AntoninoOscarDiTommasoandGiorgioVassallo
CooperativeInternalConversionProcess 129
PéterKálmánandTamásKeszthelyi
RecoilAssistedLowEnergyNuclearReactions 142
PéterKálmánandTamásKeszthelyiExothermicReactionsinthePartiallyMoltenLi–Ni–CuAlloy 159
AndrasKovacs,DavidBrownandFredrikEk
Hydrogen–lithium Low Energy Resonant Electron-capture and Bethe’s Solar Energy 181
Model
Xing Z. Li, Zhan M. Dong, Chang L. Liang, Yun P. Fu, Bin Liu, Gui S. Huang, Shu X.
ZhengandSiChenPreface
Science moves on two legs: experiments and theory. Sometimes theory comes first, but most of the times it is
thereverse. InthisrealmofCondensedMatterNuclearScience,thewell-knowntheoriesofnuclearreactionsdonot
explain the experimental observations. One option is to say that experiments are faulty. This is the easiest way to
comment. Weknowthatexperimentsperformedbytensofdifferentexperimentalistswithmanydifferenttechniques
have shown anomalies. They have proven the existence of excess heat, production of helium-4, helium-3, tritium,
neutrons,transmutations,andstrangeradiation. Thisfirstoptioncannotbeaccepted. Thesecondoptionremains. We
haveenteredanewfieldofscience,andalotneedstobedonebeforeavalidtheorycanbedeveloped. Weneedmany
moreexperimentalfacts,sothatafullpictureofLowEnergyNuclearSciencecanbeunderstood,andalsodeveloped
forthebenefitofmankind.
Volume25isanothercontributiontoourunderstandingofCondensedMatterNuclearScience.
Sincerely,
Dr. Jean-PaulBiberian
(Editor-in-Chief)
November2017J.CondensedMatterNucl.Sci.25(2017)1–25
ResearchArticle
Observation of Excess Heat by Activated Metal and Deuterium Gas
(cid:3)
Tadahiko Mizuno
HydrogenEngineeringApplicationandDevelopmentCompany,Kita12,Nishi4,Kita-ku,Sapporo001-0012,Japan
Abstract
Reportsofheat-generatingcoldfusionreactionsinthenickel–hydrogensystemhavebeenincreasing.Thereactionsmainlyinvolve
nickelwithotheradditiveelements. Theauthorsofthesereportsemphasizedtheimportanceofanextremelycleansysteminthe
electrolytictestsinwhichexcessheatwasgenerated. Therefore,weattemptedtodetectexcessheatafterreducingimpuritiestoa
minimumbycleaningtheelectrodecarefullyandthenfabricatingnanoparticlesinsituinourtestsystem,withouteverexposing
themtoair. Asaresult, energyfarexceedinginputwascontinuouslyobtained. Inthebestresultsobtainedthusfar, theoutput
thermalenergyisdoubletheinputelectricalenergy, amountingtoseveralhundredwatts. Thegeneratedthermalenergyfollows
◦
anexponentialtemperaturefunction. Whenthereactortemperatureis300 C,thegeneratedenergyis1kW.Anincreaseofthe
temperatureisexpectedtogreatlyincreasetheoutputenergy.Wehaverecentlyimprovedthepreparationoftheelectrodematerial.
Thisenhancedreproducibilityandincreasedexcessheat.ThenewmethodsaredescribedintheAppendix.
⃝c 2017ISCMNS.Allrightsreserved.ISSN 2227-3123
Keywords: Deuteriumgas,Heatgeneration,Nimetal,Surfaceactivation
1. Introduction
Wehaveaimed toreproduce a long-standing curiousphenomenon that occurs inmetal–hydrogensystems [1–5]. At
first,thereactionwasassumedtobeanormalnuclearfusionreaction,soconfirmationexperimentsinvolvingneutron
detection during the electrolysis of heavy water were conducted [6]. Focus then shifted to analysis of the elements
isotopically changed during electrolysis. The generation of heat in the process, which had rarely been observed,
becamearecurringphenomenon[7–10]. Theheat-generatingreactionofanickel–hydrogensystem,inparticular,has
beenreported[11–13].Thissystem,whencomparedtotheinitialPd–D systemhasbeenregardedasanullcalibration
2
test. Thegenerationofexcessheatinreactionsinvolvingnickelwasobservedwithadditiveelementsinthesereports.
However, the authors noted the importance of a very clean system in early electrolysis tests where excess heat was
observed. Therefore, inthepresentwork, weeliminatedimpuritiesinanattempttodetectexcessheat. Specifically,
wedevelopedaverysimpleheatestimationanalysis,basedonflowingaircalorimetry,toconfirmexcessheatinduced
bythereactionbetweenhydrogenandametal. Thefactorsconsideredareonlytheamountofairandthetemperature
differencebetweentheairflowingintoandoutofthecalorimeter. Thesefactorscontributethemosttoheatanalysis
(cid:3)E-mail:head-mizuno@lake.ocn.ne.jp
⃝c 2017ISCMNS.Allrightsreserved.ISSN 2227-31232 T.Mizuno /JournalofCondensedMatterNuclearScience25(2017)1–25
Figure1. Photoofthereactorbody.Theupperpartistheelectrodeinletpart,ontheleftistheviewingwindow,andthegasvalveisseenonthe
right.Aheatingwireiswrappedaroundthereactorbodycenterpart.Theconnectingwireandplatinumtemperaturesensorcanbeseen.
andcaneasilybeusedestimatetheexcessheat. Inthispaperwedescribetheexcessheatinasimplemetal–hydrogen
system.
2. Experiment
2.1. Reactorbody
ThereactorbodyisacruciformcylindricalshapeasshowninFig. 1. Allpartsareconnectedwithmetalsealflanges.
Theupperpartofthereactorcomprisestheheaterpowerinlet,thehigh-voltagedischargeelectrode,andathermocou-
ple. Severalplatinumtemperaturemeasuringelements(Okazaki;PtAAclass(cid:6)(0.1+0:0017jtj)(cid:0)196 (cid:24) 450)were
installedinthereactor. AsshowninFig. 1,thereisaKovarglasswindowontheleft-handsideofthereactor,anda
pressuregauge;andamassspectrometervalveandthegasinletvalveisontheright-handside. Avacuumevacuation
systemandaquadrupolegasanalysissystemareconnectedtothebody.
ThereactorismadeofSUS316. Itsvolumeis2740cm3anditsweightis20.3kg.
2.2. Reactionmaterial
The inner wall surface of the reactor was covered with two pieces of nickel mesh (99.9%, Ni 200 alloy, 180 mesh,
Inada Wire Mesh Co. Ltd.) the wire diameter is 0.055 mm, the total wire length is 896 m, and the surface area is
0.31m2. Eachmeshwas300(cid:2)300mm2 andcomposedof0.15-mm-diameterwire;theopeningsizewas180mesh,
andthetotalweightwas23g. Figure2isaphotooftheNimesh. TheNimeshisfirstdegreasedwithdetergent. Itis
theninstalledagainstthewallinsidethereactor.
The two meshes were installed in the center of the reactor inner surface. The nickel meshes were unrolled and
pressedwithanickelplate(thickness0.5mm,width5mm,length500mm)againstthereactorinnersurfacetoensure
contactwiththeinnerwallofthereactor,whichisnecessarytomaintainthermalconduction. Figure3showsaviewof
themeshandthereactor. Themeshisintightcontactwiththeinnerwallofthereactor. Thisphotoshowsthereactor,
flange,andmountinghole. Acoppergasketcanbeseenontheflangesurface. TheNimeshinthereactorandbodyis
preparedbycleaningwithhightemperaturepurewaterfor1h,andwashedwithalcoholandacetone."
13,13,T,T,T,https://link.springer.com/article/10.1007/s11192-006-0033-0,"A literature review uncovered six distinctive indicators of failed information epidemics in the scientific journal literature: (1) presence of seminal papers(s), (2) rapid growth/decline in author frequency, (3) multi-disciplinary research, (4) epidemic growth/decline in journal publication frequency, (5) predominance of rapid communication journal publications, and (6) increased multi-authorship. These indicators were applied to journal publication data from two known failed information epidemics, Polywater and Cold Nuclear Fusion. Indicators 1-4 were distinctive of the failed epidemics, Indicator 6 was not, and Indicator 5 might be. Further bibliometric study of these five indicators in the context of other epidemic literatures needed.","Ackermann, E.",,Indicators of Failed Information Epidemics in the Scientific Journal Literature: A Publication Analysis of Polywater and Cold Nuclear Fusion,Scientametrics,2005,66,,review,,,
14,14,T,T,T,https://www.sciencedirect.com/science/article/pii/0925838892903427,"Helium isotopes from D2 gas absorbed by LaNi5 were analyzed with a noble gas mass spectrometer to search for evidence of cold fusion. The ratio of 3He to 4He in the sample gas obtained after repeated temperature cycling for about 30 days was different from that in the sample gas before treatment. Increases in 3He were observed in two experiments using different reaction vessels, indicating that a nuclear reaction may have occurred.","Adachi, G.; Sakaguchi, H.; Nagao, K.",1-s2.0-0925838892903427-main.pdf,(3)He and (4)He from D2 absorbed in LaNi5,J. Alloys and Compounds,1992,181,,"Helium LiNi5, D2",,,
